"","bio_var","Class1","Class2","Class3"
"1818","OG0002169",NA,NA,NA
"1821","OG0002173",NA,NA,NA
"1822","OG0002174","TF","bHLH",NA
"1823","OG0002175",NA,NA,NA
"1824","OG0002176",NA,NA,NA
"1825","OG0002178","TF","DBB",NA
"1827","OG0002180",NA,NA,NA
"1828","OG0002181",NA,NA,NA
"1829","OG0002183",NA,NA,NA
"1830","OG0002184",NA,NA,NA
"1831","OG0002185",NA,NA,NA
"1832","OG0002186",NA,NA,NA
"1833","OG0002187",NA,NA,NA
"1834","OG0002188",NA,NA,NA
"1835","OG0002189",NA,NA,NA
"1836","OG0002190",NA,NA,NA
"1837","OG0002191",NA,NA,NA
"1838","OG0002192",NA,NA,NA
"1839","OG0002193",NA,NA,NA
"1840","OG0002194",NA,NA,NA
"1841","OG0002195","cell wall development",NA,"cell wall expansion"
"1842","OG0002196",NA,NA,NA
"1843","OG0002197",NA,NA,NA
"1844","OG0002198",NA,NA,NA
"1845","OG0002199",NA,NA,NA
"1846","OG0002201",NA,NA,NA
"1847","OG0002202",NA,NA,NA
"1848","OG0002203","photosynthesis","CBB cycle",NA
"1849","OG0002204","photosynthesis","C4 cycle",NA
"1850","OG0002205",NA,NA,NA
"1852","OG0002207",NA,NA,NA
"1853","OG0002208",NA,NA,NA
"1854","OG0002209",NA,NA,NA
"1855","OG0002210",NA,NA,NA
"1856","OG0002211",NA,NA,NA
"1857","OG0002212",NA,NA,NA
"1858","OG0002213",NA,NA,NA
"1859","OG0002214",NA,NA,NA
"1860","OG0002215",NA,NA,NA
"1861","OG0002216",NA,NA,NA
"1862","OG0002217","cell wall development",NA,"cell wall expansion"
"1863","OG0002218",NA,NA,NA
"1864","OG0002219",NA,NA,NA
"1867","OG0002222",NA,NA,NA
"1868","OG0002223","TF","TALE",NA
"1869","OG0002224",NA,NA,NA
"1870","OG0002225",NA,NA,NA
"1871","OG0002226",NA,NA,NA
"1872","OG0002227",NA,NA,NA
"1873","OG0002228",NA,NA,NA
"1874","OG0002229",NA,NA,NA
"1875","OG0002230",NA,NA,NA
"1876","OG0002231","TF","G2-like",NA
"1877","OG0002233",NA,NA,NA
"1878","OG0002234",NA,NA,NA
"1879","OG0002235",NA,NA,NA
"1880","OG0002237","photosynthesis","CBB cycle",NA
"1881","OG0002238",NA,NA,NA
"1882","OG0002239",NA,NA,NA
"1885","OG0002243",NA,NA,NA
"1886","OG0002244",NA,NA,NA
"1887","OG0002245",NA,NA,NA
"1888","OG0002246",NA,NA,NA
"1890","OG0002248","TF","FAR1",NA
"1893","OG0002251",NA,NA,NA
"1894","OG0002252",NA,NA,NA
"1895","OG0002253",NA,NA,NA
"1896","OG0002254",NA,NA,NA
"1897","OG0002255",NA,NA,NA
"1898","OG0002256",NA,NA,NA
"1899","OG0002257",NA,NA,NA
"1902","OG0002260",NA,NA,NA
"1904","OG0002262",NA,NA,NA
"1905","OG0002263",NA,NA,NA
"1906","OG0002264",NA,NA,NA
"1907","OG0002265",NA,NA,NA
"1908","OG0002266",NA,NA,NA
"1909","OG0002267",NA,NA,NA
"1911","OG0002269",NA,NA,NA
"1912","OG0002270",NA,NA,NA
"1913","OG0002271","TF","MIKC_MADS",NA
"1914","OG0002273",NA,NA,NA
"1916","OG0002275","TF","bHLH",NA
"1917","OG0002276",NA,NA,NA
"1918","OG0002277",NA,NA,NA
"1920","OG0002279",NA,NA,NA
"1921","OG0002280",NA,NA,NA
"1922","OG0002282",NA,NA,NA
"1923","OG0002283","cell wall development",NA,"cellulose biosynthesis"
"1924","OG0002284",NA,NA,NA
"1925","OG0002285",NA,NA,NA
"1926","OG0002286",NA,NA,NA
"1927","OG0002287",NA,NA,NA
"1928","OG0002288",NA,NA,NA
"1929","OG0002289",NA,NA,NA
"1930","OG0002290","cell wall development",NA,"cellulose biosynthesis"
"1931","OG0002291",NA,NA,NA
"1932","OG0002292",NA,NA,NA
"1933","OG0002293",NA,NA,NA
"1934","OG0002294",NA,NA,NA
"1935","OG0002295","cell wall development",NA,"cellulose biosynthesis"
"1936","OG0002296",NA,NA,NA
"1937","OG0002297",NA,NA,NA
"1938","OG0002298",NA,NA,NA
"1939","OG0002299",NA,NA,NA
"1940","OG0002300","cell wall development",NA,"cell wall expansion"
"1941","OG0002301","TF","G2-like",NA
"1943","OG0002303",NA,NA,NA
"1944","OG0002304",NA,NA,NA
"1945","OG0002305",NA,NA,NA
"1946","OG0002306",NA,NA,NA
"1947","OG0002307",NA,NA,NA
"1948","OG0002308","TF","G2-like",NA
"1950","OG0002310",NA,NA,NA
"1951","OG0002311",NA,NA,NA
"1952","OG0002312",NA,NA,NA
"1953","OG0002313",NA,NA,NA
"1954","OG0002314",NA,NA,NA
"1956","OG0002316",NA,NA,NA
"1958","OG0002318",NA,NA,NA
"1959","OG0002319",NA,NA,NA
"1961","OG0002321",NA,NA,NA
"1962","OG0002322",NA,NA,NA
"1963","OG0002323",NA,NA,NA
"1964","OG0002324",NA,NA,NA
"1966","OG0002327",NA,NA,NA
"1967","OG0002328",NA,NA,NA
"1968","OG0002330",NA,NA,NA
"1969","OG0002331",NA,NA,NA
"1970","OG0002332",NA,NA,NA
"1971","OG0002333",NA,NA,NA
"1972","OG0002334",NA,NA,NA
"1973","OG0002335",NA,NA,NA
"1974","OG0002337",NA,NA,NA
"1976","OG0002339",NA,NA,NA
"1979","OG0002342",NA,NA,NA
"1980","OG0002343",NA,NA,NA
"1981","OG0002345",NA,NA,NA
"1982","OG0002346",NA,NA,NA
"1983","OG0002348",NA,NA,NA
"1984","OG0002349","TF","TCP",NA
"1986","OG0002351",NA,NA,NA
"1987","OG0002352",NA,NA,NA
"1988","OG0002353",NA,NA,NA
"1989","OG0002354",NA,NA,NA
"1990","OG0002355",NA,NA,NA
"1991","OG0002356",NA,NA,NA
"1992","OG0002357",NA,NA,NA
"1993","OG0002358",NA,NA,NA
"1994","OG0002360",NA,NA,NA
"1995","OG0002361",NA,NA,NA
"1996","OG0002362",NA,NA,NA
"1997","OG0002363",NA,NA,NA
"1998","OG0002365",NA,NA,NA
"1999","OG0002366","cell wall development",NA,"cell wall expansion"
"2000","OG0002367",NA,NA,NA
"2001","OG0002368",NA,NA,NA
"2002","OG0002369",NA,NA,NA
"2004","OG0002371",NA,NA,NA
"2005","OG0002372",NA,NA,NA
"2007","OG0002375",NA,NA,NA
"2008","OG0002377","TF","MYB_related",NA
"2009","OG0002378",NA,NA,NA
"2010","OG0002379","cell wall development",NA,"cellulose biosynthesis"
"2012","OG0002381",NA,NA,NA
"2013","OG0002382",NA,NA,NA
"2014","OG0002383","cell wall development",NA,"cellulose biosynthesis"
"2015","OG0002384","photosynthesis","photorespiration",NA
"2017","OG0002386","TF","bZIP",NA
"2018","OG0002387",NA,NA,NA
"2019","OG0002388",NA,NA,NA
"2020","OG0002389",NA,NA,NA
"2021","OG0002390",NA,NA,NA
"2023","OG0002392",NA,NA,NA
"2024","OG0002393",NA,NA,NA
"2025","OG0002394",NA,NA,NA
"2026","OG0002395",NA,NA,NA
"2027","OG0002396",NA,NA,NA
"2028","OG0002397","TF","NF-YC",NA
"2029","OG0002398",NA,NA,NA
"2030","OG0002399",NA,NA,NA
"2031","OG0002400",NA,NA,NA
"2032","OG0002401",NA,NA,NA
"2033","OG0002402",NA,NA,NA
"2034","OG0002403",NA,NA,NA
"2035","OG0002404",NA,NA,NA
"2036","OG0002405",NA,NA,NA
"2037","OG0002406",NA,NA,NA
"2038","OG0002407",NA,NA,NA
"2039","OG0002408",NA,NA,NA
"2040","OG0002409",NA,NA,NA
"2041","OG0002410",NA,NA,NA
"2042","OG0002411",NA,NA,NA
"2043","OG0002412",NA,NA,NA
"2044","OG0002413",NA,NA,NA
"2045","OG0002434",NA,NA,NA
"2046","OG0002435",NA,NA,NA
"2047","OG0002437",NA,NA,NA
"2048","OG0002438",NA,NA,NA
"2049","OG0002439",NA,NA,NA
"2050","OG0002441",NA,NA,NA
"2051","OG0002442",NA,NA,NA
"2053","OG0002444",NA,NA,NA
"2056","OG0002447","TF","LBD",NA
"2058","OG0002449",NA,NA,NA
"2059","OG0002450",NA,NA,NA
"2060","OG0002451","TF","MYB",NA
"2061","OG0002452",NA,NA,NA
"2062","OG0002453","TF","ERF",NA
"2063","OG0002454",NA,NA,NA
"2065","OG0002456",NA,NA,NA
"2066","OG0002457","plasmodesmata",NA,"plasmodesmata"
"2067","OG0002458",NA,NA,NA
"2068","OG0002460",NA,NA,NA
"2069","OG0002462","photosynthesis",NA,NA
"2070","OG0002463",NA,NA,NA
"2072","OG0002465",NA,NA,NA
"2073","OG0002466","TF","CO-like",NA
"2074","OG0002467",NA,NA,NA
"2076","OG0002469",NA,NA,NA
"2077","OG0002470",NA,NA,NA
"2078","OG0002471",NA,NA,NA
"2079","OG0002472",NA,NA,NA
"2080","OG0002473",NA,NA,NA
"2082","OG0002475","photosynthesis",NA,NA
"2083","OG0002476",NA,NA,NA
"2084","OG0002477",NA,NA,NA
"2086","OG0002479",NA,NA,NA
"2087","OG0002481",NA,NA,NA
"2089","OG0002483",NA,NA,NA
"2090","OG0002484",NA,NA,NA
"2091","OG0002485",NA,NA,NA
"2092","OG0002486",NA,NA,NA
"2093","OG0002487",NA,NA,NA
"2094","OG0002488",NA,NA,NA
"2095","OG0002489",NA,NA,NA
"2096","OG0002491",NA,NA,NA
"2098","OG0002493",NA,NA,NA
"2099","OG0002495",NA,NA,NA
"2100","OG0002496",NA,NA,NA
"2102","OG0002498",NA,NA,NA
"2103","OG0002500",NA,NA,NA
"2104","OG0002501",NA,NA,NA
"2105","OG0002502",NA,NA,NA
"2106","OG0002503",NA,NA,NA
"2107","OG0002504",NA,NA,NA
"2108","OG0002505",NA,NA,NA
"2110","OG0002508",NA,NA,NA
"2111","OG0002509",NA,NA,NA
"2114","OG0002513",NA,NA,NA
"2116","OG0002515",NA,NA,NA
"2118","OG0002517",NA,NA,NA
"2119","OG0002518",NA,NA,NA
"2121","OG0002520",NA,NA,NA
"2122","OG0002521",NA,NA,NA
"2123","OG0002522",NA,NA,NA
"2124","OG0002523","TF","ARF","VB development"
"2125","OG0002524",NA,NA,NA
"2128","OG0002527",NA,NA,NA
"2130","OG0002529",NA,NA,NA
"2132","OG0002532",NA,NA,NA
"2134","OG0002534",NA,NA,NA
"2135","OG0002535",NA,NA,NA
"2136","OG0002536",NA,NA,NA
"2139","OG0002539",NA,NA,NA
"2140","OG0002540",NA,NA,NA
"2141","OG0002541",NA,NA,NA
"2142","OG0002542",NA,NA,NA
"2143","OG0002543",NA,NA,NA
"2144","OG0002544",NA,NA,NA
"2145","OG0002545",NA,NA,NA
"2146","OG0002546",NA,NA,NA
"2147","OG0002547",NA,NA,NA
"2148","OG0002548",NA,NA,NA
"2149","OG0002549",NA,NA,NA
"2150","OG0002550","cell wall development",NA,"cellulose biosynthesis"
"2151","OG0002551",NA,NA,NA
"2153","OG0002553",NA,NA,NA
"2154","OG0002554","TF","WRKY",NA
"2155","OG0002555",NA,NA,NA
"2156","OG0002556",NA,NA,NA
"2157","OG0002557",NA,NA,NA
"2158","OG0002558",NA,NA,NA
"2159","OG0002559",NA,NA,NA
"2160","OG0002560",NA,NA,NA
"2161","OG0002561",NA,NA,NA
"2162","OG0002562",NA,NA,NA
"2163","OG0002563",NA,NA,NA
"2164","OG0002564",NA,NA,NA
"2165","OG0002565",NA,NA,NA
"2166","OG0002566",NA,NA,NA
"2167","OG0002567",NA,NA,NA
"2168","OG0002568","TF","TCP",NA
"2169","OG0002569",NA,NA,NA
"2170","OG0002570",NA,NA,NA
"2171","OG0002571",NA,NA,NA
"2172","OG0002572","cell wall development",NA,"lignin biosynthesis"
"2173","OG0002573",NA,NA,NA
"2174","OG0002574","TF","bHLH",NA
"2175","OG0002575",NA,NA,NA
"2176","OG0002577",NA,NA,NA
"2177","OG0002578",NA,NA,NA
"2178","OG0002579",NA,NA,NA
"2179","OG0002580",NA,NA,NA
"2180","OG0002581",NA,NA,NA
"2181","OG0002582",NA,NA,NA
"2182","OG0002583",NA,NA,NA
"2183","OG0002584",NA,NA,NA
"2185","OG0002586","TF","bZIP",NA
"2186","OG0002587",NA,NA,NA
"2187","OG0002588",NA,NA,NA
"2188","OG0002589",NA,NA,NA
"2189","OG0002590",NA,NA,NA
"2190","OG0002591",NA,NA,NA
"2192","OG0002593",NA,NA,NA
"2193","OG0002594",NA,NA,NA
"2195","OG0002597",NA,NA,NA
"2197","OG0002599",NA,NA,NA
"2198","OG0002600",NA,NA,NA
"2199","OG0002601",NA,NA,NA
"2200","OG0002602",NA,NA,NA
"2201","OG0002603",NA,NA,NA
"2202","OG0002604",NA,NA,NA
"2203","OG0002605","photosynthesis",NA,NA
"2204","OG0002606",NA,NA,NA
"2205","OG0002607",NA,NA,NA
"2206","OG0002608",NA,NA,NA
"2207","OG0002609","TF","bZIP",NA
"2208","OG0002610",NA,NA,NA
"2209","OG0002611",NA,NA,NA
"2210","OG0002612",NA,NA,NA
"2211","OG0002613",NA,NA,NA
"2212","OG0002614",NA,NA,NA
"2213","OG0002615",NA,NA,NA
"2214","OG0002616",NA,NA,NA
"2215","OG0002617",NA,NA,NA
"2216","OG0002618",NA,NA,NA
"2217","OG0002619",NA,NA,NA
"2218","OG0002620",NA,NA,NA
"2219","OG0002621",NA,NA,NA
"2220","OG0002622",NA,NA,NA
"2221","OG0002623",NA,NA,NA
"2222","OG0002625",NA,NA,NA
"2223","OG0002626",NA,NA,NA
"2224","OG0002627",NA,NA,NA
"2225","OG0002628",NA,NA,NA
"2226","OG0002629",NA,NA,NA
"2227","OG0002630",NA,NA,NA
"2228","OG0002631",NA,NA,NA
"2229","OG0002632",NA,NA,NA
"2230","OG0002633",NA,NA,NA
"2231","OG0002634",NA,NA,NA
"2232","OG0002635","cell wall development",NA,"cellulose biosynthesis"
"2233","OG0002636",NA,NA,NA
"2234","OG0002637","TF","HB-other",NA
"2235","OG0002638",NA,NA,NA
"2238","OG0002641",NA,NA,NA
"2239","OG0002642",NA,NA,NA
"2240","OG0002643",NA,NA,NA
"2241","OG0002644",NA,NA,NA
"2242","OG0002645",NA,NA,NA
"2243","OG0002646",NA,NA,NA
"2244","OG0002647",NA,NA,NA
"2246","OG0002649",NA,NA,NA
"2247","OG0002650",NA,NA,NA
"2248","OG0002651","TF","NAC",NA
"2249","OG0002652",NA,NA,NA
"2251","OG0002654",NA,NA,NA
"2252","OG0002655",NA,NA,NA
"2253","OG0002656",NA,NA,NA
"2254","OG0002657","cell wall development",NA,"lignin biosynthesis"
"2255","OG0002658",NA,NA,NA
"2256","OG0002659",NA,NA,NA
"2257","OG0002660",NA,NA,NA
"2258","OG0002661","TF","NAC",NA
"2259","OG0002662",NA,NA,NA
"2260","OG0002663",NA,NA,NA
"2261","OG0002664",NA,NA,NA
"2262","OG0002665","TF","DBB",NA
"2263","OG0002666",NA,NA,NA
"2264","OG0002668",NA,NA,NA
"2265","OG0002669",NA,NA,NA
"2266","OG0002670",NA,NA,NA
"2267","OG0002671",NA,NA,NA
"2268","OG0002672",NA,NA,NA
"2269","OG0002673","TF","E2F/DP",NA
"2270","OG0002674",NA,NA,NA
"2271","OG0002675",NA,NA,NA
"2273","OG0002677",NA,NA,NA
"2274","OG0002678",NA,NA,NA
"2275","OG0002679","TF","bZIP",NA
"2276","OG0002680",NA,NA,NA
"2278","OG0002682","cell wall development",NA,"cell wall expansion"
"2279","OG0002683",NA,NA,NA
"2280","OG0002684",NA,NA,NA
"2281","OG0002685",NA,NA,NA
"2282","OG0002686",NA,NA,NA
"2284","OG0002688",NA,NA,NA
"2285","OG0002689",NA,NA,NA
"2286","OG0002692",NA,NA,NA
"2287","OG0002693",NA,NA,NA
"2288","OG0002694",NA,NA,NA
"2289","OG0002695",NA,NA,NA
"2290","OG0002696","TF","MYB",NA
"2291","OG0002697",NA,NA,NA
"2293","OG0002699",NA,NA,NA
"2294","OG0002700",NA,NA,NA
"2295","OG0002702",NA,NA,NA
"2296","OG0002703",NA,NA,NA
"2297","OG0002704",NA,NA,NA
"2298","OG0002705",NA,NA,NA
"2299","OG0002706",NA,NA,NA
"2301","OG0002708",NA,NA,NA
"2302","OG0002709",NA,NA,NA
"2303","OG0002710",NA,NA,NA
"2304","OG0002711",NA,NA,NA
"2305","OG0002712",NA,NA,NA
"2306","OG0002713",NA,NA,NA
"2307","OG0002714",NA,NA,NA
"2308","OG0002715",NA,NA,NA
"2309","OG0002716",NA,NA,NA
"2310","OG0002718",NA,NA,NA
"2311","OG0002719","TF","GRF",NA
"2313","OG0002721",NA,NA,NA
"2314","OG0002722",NA,NA,NA
"2315","OG0002723",NA,NA,NA
"2316","OG0002724",NA,NA,NA
"2317","OG0002725",NA,NA,NA
"2320","OG0002728",NA,NA,NA
"2321","OG0002729",NA,NA,NA
"2322","OG0002730",NA,NA,NA
"2323","OG0002732",NA,NA,NA
"2325","OG0002734",NA,NA,NA
"2326","OG0002735",NA,NA,NA
"2327","OG0002736",NA,NA,NA
"2328","OG0002737",NA,NA,NA
"2330","OG0002739","TF","GeBP",NA
"2331","OG0002742",NA,NA,NA
"2332","OG0002743",NA,NA,NA
"2333","OG0002744",NA,NA,NA
"2334","OG0002745",NA,NA,NA
"2336","OG0002747",NA,NA,NA
"2338","OG0002749",NA,NA,NA
"2339","OG0002750",NA,NA,NA
"2340","OG0002751",NA,NA,NA
"2341","OG0002752",NA,NA,NA
"2342","OG0002753",NA,NA,NA
"2343","OG0002754",NA,NA,NA
"2344","OG0002755",NA,NA,NA
"2345","OG0002756",NA,NA,NA
"2346","OG0002757",NA,NA,NA
"2347","OG0002758",NA,NA,NA
"2348","OG0002759",NA,NA,NA
"2349","OG0002760",NA,NA,NA
"2351","OG0002763",NA,NA,NA
"2352","OG0002764",NA,NA,NA
"2353","OG0002765","TF","bZIP",NA
"2354","OG0002766",NA,NA,NA
"2355","OG0002767",NA,NA,NA
"2356","OG0002768",NA,NA,NA
"2357","OG0002769",NA,NA,NA
"2358","OG0002770",NA,NA,NA
"2359","OG0002771",NA,NA,NA
"2360","OG0002772",NA,NA,NA
"2361","OG0002773",NA,NA,NA
"2363","OG0002776",NA,NA,NA
"2364","OG0002777","TF","HD-ZIP",NA
"2365","OG0002778",NA,NA,NA
"2366","OG0002779",NA,NA,NA
"2367","OG0002780",NA,NA,NA
"2368","OG0002781",NA,NA,NA
"2369","OG0002782",NA,NA,NA
"2370","OG0002783",NA,NA,NA
"2372","OG0002785","TF","bZIP",NA
"2373","OG0002786",NA,NA,NA
"2374","OG0002787",NA,NA,NA
"2375","OG0002788",NA,NA,NA
"2376","OG0002815",NA,NA,NA
"2377","OG0002816",NA,NA,NA
"2378","OG0002817",NA,NA,NA
"2380","OG0002819",NA,NA,NA
"2381","OG0002820",NA,NA,NA
"2382","OG0002821",NA,NA,NA
"2383","OG0002822",NA,NA,NA
"2384","OG0002823",NA,NA,NA
"2385","OG0002825",NA,NA,NA
"2386","OG0002827",NA,NA,NA
"2387","OG0002828",NA,NA,NA
"2389","OG0002831",NA,NA,NA
"2391","OG0002833",NA,NA,NA
"2392","OG0002834",NA,NA,"VB development"
"2393","OG0002835",NA,NA,NA
"2394","OG0002836",NA,NA,NA
"2395","OG0002837",NA,NA,NA
"2396","OG0002838",NA,NA,NA
"2397","OG0002839",NA,NA,NA
"2398","OG0002840",NA,NA,NA
"2399","OG0002841","TF","MYB",NA
"2404","OG0002846",NA,NA,NA
"2405","OG0002847",NA,NA,NA
"2407","OG0002849",NA,NA,NA
"2408","OG0002850",NA,NA,NA
"2410","OG0002852",NA,NA,NA
"2412","OG0002855",NA,NA,NA
"2415","OG0002858",NA,NA,NA
"2416","OG0002859",NA,NA,NA
"2418","OG0002861",NA,NA,NA
"2419","OG0002862",NA,NA,NA
"2421","OG0002864",NA,NA,NA
"2423","OG0002868",NA,NA,NA
"2424","OG0002869",NA,NA,NA
"2425","OG0002871",NA,NA,NA
"2426","OG0002872",NA,NA,NA
"2429","OG0002875",NA,NA,NA
"2430","OG0002876",NA,NA,NA
"2431","OG0002877",NA,NA,NA
"2432","OG0002878",NA,NA,NA
"2433","OG0002879",NA,NA,NA
"2435","OG0002881",NA,NA,NA
"2436","OG0002882",NA,NA,NA
"2437","OG0002883",NA,NA,NA
"2438","OG0002884","cell wall development",NA,"cell wall expansion"
"2439","OG0002885",NA,NA,NA
"2440","OG0002886",NA,NA,NA
"2441","OG0002887","cell wall development",NA,"lignin biosynthesis"
"2442","OG0002888",NA,NA,NA
"2443","OG0002889",NA,NA,NA
"2444","OG0002890",NA,NA,NA
"2445","OG0002891",NA,NA,NA
"2446","OG0002892",NA,NA,NA
"2447","OG0002893",NA,NA,NA
"2448","OG0002895",NA,NA,NA
"2450","OG0002897",NA,NA,NA
"2451","OG0002898",NA,NA,NA
"2452","OG0002899",NA,NA,NA
"2453","OG0002900",NA,NA,NA
"2454","OG0002902",NA,NA,NA
"2456","OG0002905",NA,NA,NA
"2457","OG0002906",NA,NA,NA
"2459","OG0002909","TF","SBP",NA
"2460","OG0002910",NA,NA,NA
"2461","OG0002911",NA,NA,NA
"2462","OG0002912",NA,NA,NA
"2463","OG0002913",NA,NA,NA
"2464","OG0002914",NA,NA,NA
"2465","OG0002915",NA,NA,NA
"2466","OG0002916",NA,NA,NA
"2467","OG0002917","cell wall development",NA,"cellulose biosynthesis"
"2468","OG0002919",NA,NA,NA
"2469","OG0002920",NA,NA,NA
"2470","OG0002921",NA,NA,NA
"2471","OG0002922",NA,NA,NA
"2472","OG0002923",NA,NA,NA
"2473","OG0002924",NA,NA,NA
"2474","OG0002925",NA,NA,NA
"2475","OG0002926",NA,NA,NA
"2476","OG0002927",NA,NA,NA
"2477","OG0002928",NA,NA,NA
"2478","OG0002929",NA,NA,NA
"2479","OG0002930",NA,NA,NA
"2480","OG0002932",NA,NA,NA
"2481","OG0002933",NA,NA,NA
"2482","OG0002934",NA,NA,NA
"2483","OG0002935",NA,NA,NA
"2484","OG0002936",NA,NA,NA
"2485","OG0002937",NA,NA,NA
"2486","OG0002939",NA,NA,NA
"2487","OG0002940",NA,NA,NA
"2488","OG0002941",NA,NA,NA
"2489","OG0002942",NA,NA,NA
"2490","OG0002943",NA,NA,NA
"2491","OG0002944",NA,NA,NA
"2492","OG0002945",NA,NA,NA
"2494","OG0002947",NA,NA,NA
"2495","OG0002948",NA,NA,NA
"2496","OG0002949",NA,NA,NA
"2498","OG0002951",NA,NA,NA
"2500","OG0002954",NA,NA,NA
"2501","OG0002957",NA,NA,NA
"2502","OG0002958",NA,NA,NA
"2503","OG0002959",NA,NA,NA
"2505","OG0002962","TF","TCP",NA
"2506","OG0002963",NA,NA,NA
"2508","OG0002966",NA,NA,NA
"2509","OG0002967",NA,NA,NA
"2512","OG0002972",NA,NA,NA
"2513","OG0002974",NA,NA,NA
"2514","OG0002975",NA,NA,NA
"2515","OG0002976",NA,NA,NA
"2516","OG0002978",NA,NA,NA
"2517","OG0002979",NA,NA,NA
"2518","OG0002980",NA,NA,NA
"2519","OG0002981",NA,NA,NA
"2520","OG0002982",NA,NA,NA
"2521","OG0002983",NA,NA,NA
"2522","OG0002984",NA,NA,NA
"2523","OG0002985",NA,NA,NA
"2524","OG0002986",NA,NA,NA
"2525","OG0002987",NA,NA,NA
"2526","OG0002988",NA,NA,NA
"2527","OG0002989",NA,NA,NA
"2528","OG0002990",NA,NA,NA
"2529","OG0002991","TF","HD-ZIP",NA
"2530","OG0002992",NA,NA,NA
"2531","OG0002994",NA,NA,NA
"2533","OG0002997",NA,NA,NA
"2534","OG0002998",NA,NA,NA
"2535","OG0002999",NA,NA,NA
"2536","OG0003000",NA,NA,NA
"2537","OG0003001",NA,NA,NA
"2538","OG0003002",NA,NA,NA
"2539","OG0003003",NA,NA,NA
"2541","OG0003005",NA,NA,NA
"2542","OG0003006",NA,NA,NA
"2543","OG0003007",NA,NA,NA
"2544","OG0003008",NA,NA,NA
"2545","OG0003009",NA,NA,NA
"2546","OG0003010","TF","ERF",NA
"2547","OG0003011",NA,NA,NA
"2548","OG0003012",NA,NA,NA
"2549","OG0003013",NA,NA,NA
"2550","OG0003014","TF","bZIP",NA
"2551","OG0003015",NA,NA,NA
"2552","OG0003017",NA,NA,NA
"2553","OG0003018",NA,NA,NA
"2555","OG0003021",NA,NA,NA
"2556","OG0003022",NA,NA,NA
"2557","OG0003023",NA,NA,NA
"2558","OG0003024",NA,NA,NA
"2559","OG0003025",NA,NA,NA
"2560","OG0003026",NA,NA,NA
"2561","OG0003027",NA,NA,NA
"2562","OG0003028",NA,NA,NA
"2563","OG0003029",NA,NA,NA
"2564","OG0003030",NA,NA,NA
"2565","OG0003031",NA,NA,NA
"2566","OG0003032",NA,NA,NA
"2567","OG0003033","TF","MYB_related",NA
"2568","OG0003034",NA,NA,NA
"2569","OG0003035",NA,NA,NA
"2570","OG0003036",NA,NA,NA
"2571","OG0003038",NA,NA,NA
"2572","OG0003039",NA,NA,NA
"2573","OG0003040",NA,NA,NA
"2574","OG0003041",NA,NA,NA
"2575","OG0003042",NA,NA,NA
"2577","OG0003044",NA,NA,NA
"2578","OG0003045",NA,NA,NA
"2579","OG0003046",NA,NA,NA
"2580","OG0003047",NA,NA,NA
"2581","OG0003048",NA,NA,NA
"2582","OG0003049",NA,NA,NA
"2584","OG0003051",NA,NA,NA
"2587","OG0003054",NA,NA,NA
"2588","OG0003055",NA,NA,NA
"2589","OG0003056","cell wall development",NA,"cell wall expansion"
"2590","OG0003057",NA,NA,NA
"2591","OG0003058",NA,NA,NA
"2592","OG0003059",NA,NA,NA
"2593","OG0003060",NA,NA,NA
"2594","OG0003061",NA,NA,NA
"2595","OG0003062",NA,NA,NA
"2597","OG0003064",NA,NA,NA
"2599","OG0003066",NA,NA,NA
"2600","OG0003067",NA,NA,NA
"2601","OG0003069",NA,NA,NA
"2602","OG0003070",NA,NA,NA
"2603","OG0003071",NA,NA,NA
"2604","OG0003072",NA,NA,NA
"2605","OG0003074",NA,NA,NA
"2606","OG0003075",NA,NA,NA
"2608","OG0003077",NA,NA,NA
"2609","OG0003078",NA,NA,NA
"2610","OG0003079",NA,NA,NA
"2611","OG0003080",NA,NA,NA
"2612","OG0003081",NA,NA,NA
"2614","OG0003083",NA,NA,NA
"2616","OG0003086",NA,NA,NA
"2617","OG0003087","photosynthesis","C4 cycle",NA
"2618","OG0003088","TF","ARF",NA
"2619","OG0003089",NA,NA,NA
"2620","OG0003090",NA,NA,NA
"2621","OG0003091","cell wall development",NA,"cell wall expansion"
"2622","OG0003092",NA,NA,NA
"2623","OG0003093",NA,NA,NA
"2625","OG0003095",NA,NA,NA
"2626","OG0003096",NA,NA,NA
"2627","OG0003097",NA,NA,NA
"2628","OG0003098","cell wall development",NA,"cellulose biosynthesis"
"2629","OG0003099",NA,NA,NA
"2631","OG0003102",NA,NA,NA
"2632","OG0003103",NA,NA,NA
"2633","OG0003104",NA,NA,NA
"2634","OG0003106",NA,NA,NA
"2637","OG0003110",NA,NA,NA
"2639","OG0003112",NA,NA,NA
"2640","OG0003113","plasmodesmata",NA,"plasmodesmata"
"2641","OG0003114",NA,NA,NA
"2642","OG0003115",NA,NA,NA
"2643","OG0003116",NA,NA,NA
"2644","OG0003117",NA,NA,NA
"2645","OG0003118",NA,NA,NA
"2646","OG0003119",NA,NA,NA
"2647","OG0003120",NA,NA,NA
"2648","OG0003121",NA,NA,NA
"2649","OG0003122",NA,NA,NA
"2652","OG0003125","TF","NF-YB",NA
"2653","OG0003127",NA,NA,NA
"2654","OG0003128",NA,NA,NA
"2655","OG0003129","TF","C3H",NA
"2656","OG0003130",NA,NA,NA
"2657","OG0003132",NA,NA,NA
"2658","OG0003133",NA,NA,NA
"2659","OG0003134",NA,NA,NA
