,C4_S1,C4_S3,C4_S5,C4_S7
VB Distance,182.682,114.468964,100.149,100.126
VB Density,47.26766497,64.36986476,71.07727666,71.77854606
1 VB / Total VB,0.410486882,0.191802758,0.157289469,0.144362894
VB Diameter,48.89710673,29.78487596,25.78403509,23.28320159
VB Area %,0.082286641,0.050686943,0.040975821,0.028412552
IBS Cell size,135.4130722,181.3472581,188.9829037,194.539523
IBS Area %,0.076768621,0.091439631,0.092265073,0.087062113
OBS Cell size,0,0,0,0
OBS Area %,0,0,0,0
M Cell size,357.102,418.408,381.49,370.94
Sv*,6.190586797,5.138435667,4.918888121,4.389221807
Sb*,10.39717848,12.20435781,12.57616394,12.19720434
Leaf Size,338685.85,508709.31,523725.3,403095.6
1 VB Density,19.206,11.771,11.245,10.312
2 VB Density,28.063,52.599,59.831,61.468
specie.C4,1,1,1,1
specie.PK,0,0,0,0
specie.C3,0,0,0,0
OG0000000,52.00619171,56.25275059,24.50997472,34.9026344
OG0000001,115.5459078,115.6559583,108.3523669,165.1260505
OG0000002,55.2788222,59.86153819,52.43587093,90.14760155
OG0000005,163.1775741,182.0635,101.362615,97.85337189
OG0000008,710.420619,1898.008513,1602.29219,2321.712488
OG0000009,30.05431677,35.0989143,25.89382912,29.97346228
OG0000010,9.230776119,11.77287435,11.18841366,15.00750137
OG0000012,106.434919,50.88213661,30.67607417,32.97701927
OG0000013,265.7832544,160.9742262,129.0701795,122.5276174
OG0000014,36.27713633,31.95493655,16.79914836,22.92782155
OG0000016,46.92324309,55.11474313,17.18816271,17.5034915
OG0000017,239.564081,182.3446761,82.76510549,109.890765
OG0000021,15.17718927,17.28531984,11.64947314,16.72215155
OG0000023,12.96479966,16.23069879,17.88558883,19.84972335
OG0000026,10.1151129,14.83519644,34.51115237,58.91534777
OG0000028,264.8423324,167.9628306,79.51830832,91.78502356
OG0000029,12.06533041,9.718151908,40.2659037,75.73690831
OG0000032,175.3999476,303.02901,576.4912611,155.5612803
OG0000034,26.57729566,24.65341418,19.82745997,26.2218235
OG0000039,47.21106147,50.64450866,33.86281201,41.12316786
OG0000041,25.21725229,19.33644409,6.358595101,8.603170795
OG0000042,15.75903481,15.18283148,13.26921401,16.738886
OG0000043,12.75479825,35.59521352,29.01821458,20.85455482
OG0000044,1339.310935,3869.233467,298.045465,22.79382419
OG0000048,8.263168549,8.818519635,8.21301179,13.34118921
OG0000049,54.310687,64.83967029,35.23760914,37.4904687
OG0000053,68.07827579,1438.091031,714.0142128,226.7875029
OG0000054,21.43962061,17.87799129,22.04032916,34.07486575
OG0000057,2.4085266,4.121901208,14.73432141,57.0081933
OG0000059,196.2845427,172.0952578,447.4272026,414.2189467
OG0000060,17.22787198,31.55681691,20.88793572,11.26365096
OG0000061,2.128610672,3.139263098,190.7425898,239.2427205
OG0000063,10.61358909,4.671030925,3.443265482,6.059213713
OG0000064,2.572765103,3.31715142,14.9134088,41.34426133
OG0000065,4.684959021,4.928619432,5.386778256,22.14442301
OG0000066,250.2606488,194.9504583,95.27446986,96.04969431
OG0000068,10.0762878,38.46272439,35.57692117,48.13457715
OG0000069,3936.499385,1206.524482,3200.588768,5497.360916
OG0000070,133.2459953,49.31847062,34.52641772,52.85116288
OG0000074,13.28015315,8.297508843,10.1277843,15.90164746
OG0000076,25.97427695,23.40380425,28.47699394,41.67923422
OG0000078,91.54674328,51.23331991,48.44777552,66.51386756
OG0000079,7.923290406,15.16374398,76.57604505,60.87439436
OG0000081,3044.216061,18022.23703,113581.2579,179018.4096
OG0000082,131.1559047,80.32848062,86.67216488,101.4339131
OG0000083,1660.778009,1932.319331,3723.276466,5723.743826
OG0000084,508.9627533,360.1976694,155.8730728,149.9719498
OG0000085,1.515959764,1.749972912,2.434914476,2.084448062
OG0000087,74.83081639,56.67708022,28.3809328,23.80673598
OG0000088,29.49009849,37.07985874,22.59246253,30.18101376
OG0000089,131.219145,168.0913496,254.1536823,574.9334424
OG0000090,122.7464206,275.4320251,273.0092595,232.3505291
OG0000092,7.583518588,11.94954505,6.166530604,7.336103259
OG0000094,1301.894921,716.8122415,771.6663611,1609.914737
OG0000095,108.2810936,124.3699887,101.4131511,183.2642246
OG0000096,819.8610463,1043.649146,1568.183774,1653.703096
OG0000097,1061.475429,1418.560103,609.7877854,297.3822767
OG0000098,11.4091051,6.205117888,5.343325063,6.51801839
OG0000099,23.03250718,9.738434812,11.29852538,19.36131151
OG0000101,25.5271789,25.00880807,68.28911843,153.835374
OG0000102,13.87485506,5.241887917,11.26424707,12.49779621
OG0000104,37.90612629,41.39703125,42.92947908,47.49188852
OG0000105,40.69701632,44.77021932,26.89467686,39.02322074
OG0000106,10.82922477,8.424958411,5.959140821,5.984167878
OG0000109,34.25247016,154.5652236,288.1682019,141.7540526
OG0000112,45.91521581,36.48168987,31.19529979,43.82447795
OG0000113,0.887257555,4.331986462,2.120128141,3.439011532
OG0000117,30.7615174,25.81696433,36.73756907,28.84709882
OG0000118,14.84734028,21.76813435,19.31164699,25.62117898
OG0000120,18.54719341,19.04956226,20.65099217,7.283739721
OG0000122,32.57361737,29.3571802,25.66852212,45.68217018
OG0000123,39.98673369,48.11790954,20.08841878,17.74780354
OG0000126,2.16300292,1.714943646,4.037931528,5.330234457
OG0000128,398.7322803,189.6321138,415.3114926,230.6929143
OG0000129,86.29964901,88.00148568,68.2281385,86.25595147
OG0000130,2.943865709,3.141320002,2.02338335,2.64347335
OG0000131,514.7704825,182.9164438,177.6480508,52.58574557
OG0000132,0.927891575,15.22694399,78.82723874,182.4950694
OG0000134,3.743246833,44.08096623,59.16169055,12.1809599
OG0000135,28.17819407,33.08034376,103.9900868,139.1259328
OG0000139,26.04163432,24.43496827,6.102039412,5.105928295
OG0000140,18.56465088,78.47801051,61.01112317,36.8426092
OG0000141,9.272064005,6.80692834,8.399322028,14.2728454
OG0000142,29.5578379,23.34996666,6.471754274,5.770881709
OG0000143,1.770327685,6.827446652,37.90243478,91.72832045
OG0000144,27.91966731,27.04153359,14.07469013,14.82469747
OG0000147,7.410104156,3.953212923,7.16983739,7.870076924
OG0000148,32.1846444,21.8835986,17.6294449,20.95276095
OG0000149,5.107437507,3.644916982,3.795331083,3.739428684
OG0000150,146.0165306,836.4758648,392.0259623,105.0238361
OG0000151,6694.869448,1017.449083,2029.085095,3396.041532
OG0000152,3.511255066,15.14689412,78.802697,69.02687317
OG0000153,13.13859598,12.94131316,18.11249598,20.78691026
OG0000155,81.84907601,72.86781394,21.74778922,23.64630543
OG0000156,0.643351633,3.531109998,55.27547874,279.78082
OG0000158,64.4464347,82.56313073,86.43476558,89.70321729
OG0000159,4.763385379,2.303622312,7.403536709,12.83775406
OG0000160,6.330072937,12.76617623,68.6696246,113.0874399
OG0000161,7.64933724,6.85286591,3.928170837,2.265399949
OG0000163,10.65661272,14.89644708,62.4346084,17.88573449
OG0000164,83.35225813,61.80744504,14.28205535,14.89214019
OG0000165,6.346298164,16.1317302,68.21235648,236.6391913
OG0000166,32.55012257,30.83977699,32.66998877,57.99471136
OG0000168,35.58063917,21.89977876,57.16736726,102.9250002
OG0000169,12.62171963,11.1826453,3.337868896,5.952058699
OG0000172,11.84044907,17.04295953,8.468618006,9.554696125
OG0000173,2.732516824,21.58854472,174.0640394,301.7178025
