,C3_S1,C3_S3,C3_S5,C3_S7
OG0005201,2.478744079,0.528108078,1.13398171,1.464427099
OG0005203,191.3359695,99.91941732,86.17760885,83.06724797
OG0005207,25.32207427,23.41350632,11.18970522,14.59201993
OG0005208,3.980703082,6.35364341,16.60112398,15.05714729
OG0005209,11.09114817,9.249077418,8.630325582,10.76377429
OG0005210,650.7435827,1323.757058,1704.233799,1792.428237
OG0005211,4.617952771,5.261809598,5.201873452,6.595623384
OG0005212,140.0156994,173.2972158,172.108211,144.2389073
OG0005214,23.30493921,19.03163904,27.95387314,29.64300698
OG0005215,24.35662913,21.50899801,27.29272907,26.89740416
OG0005217,4.5019446,9.818179839,16.86409448,24.30595393
OG0005218,98.71954895,99.71522769,135.2780861,144.4316581
OG0005220,45.5378722,42.72584216,35.52679038,38.10392814
OG0005222,11.7532612,7.867091105,4.71733409,5.447565755
OG0005223,111.3154507,399.9952611,217.9405049,94.53097104
OG0005224,23.09008164,11.83516329,4.691754941,1.656693265
OG0005226,25.96930651,26.04446955,38.53584502,45.20344288
OG0005227,60.94088492,62.74672357,32.91576912,17.21458301
OG0005228,251.0992831,160.6973892,119.340462,124.2492571
OG0005229,93.39801342,54.43730878,57.95830251,76.15622078
OG0005230,4.343402222,8.31533479,3.045461991,2.525866128
OG0005232,11.86409912,10.2941215,7.51623268,14.0226777
OG0005233,21.62694579,20.7379849,26.6956419,36.25378202
OG0005235,16.76620935,18.5483451,14.18271166,14.38168142
OG0005236,175.365985,695.3637817,1774.734907,1558.832611
OG0005237,39.47698446,60.26972419,104.3174958,103.943096
OG0005239,40.22703125,31.49723006,25.67465723,24.8569098
OG0005240,18.95014968,43.6287201,58.94923239,60.47947852
OG0005241,23.53483613,11.34612148,8.441597415,7.609882431
OG0005243,4.397481454,5.070615965,4.882031404,6.608673386
OG0005245,10.24899341,20.56510437,29.89658297,20.38960405
OG0005246,21.41771571,33.66759375,22.80268326,15.15288227
OG0005247,20.09238023,25.25045242,24.41809788,31.21797239
OG0005249,47.81764102,28.21635926,14.16223082,19.04406732
OG0005250,5.830749655,4.274543551,3.434628246,5.397630621
OG0005251,0.65843156,4.047198117,0.54919625,0
OG0005252,6.359789236,10.54182948,12.01161693,13.69839102
OG0005253,0.934526444,3.906925167,18.66053063,16.54288183
OG0005255,2.547751883,1.042735767,0.829063773,1.75759556
OG0005256,1.8375845,10.02986742,30.35834906,30.17231166
OG0005257,49.64311684,53.96974576,70.71215697,78.07205543
OG0005261,16.59104508,9.454317359,9.87757641,13.69376711
OG0005263,10.13676832,9.572698126,8.801136948,10.53340357
OG0005264,18.17046529,12.03447179,32.6448895,16.21739963
OG0005265,67.97497327,59.09065729,63.22068248,61.27471058
OG0005266,7.521117819,8.184598906,7.988557957,6.501900454
OG0005270,32.39096758,33.06752846,37.11100441,22.67069372
OG0005271,5.93271607,20.633182,9.278173592,8.188734261
OG0005272,38.94480503,37.80540282,34.09908679,47.20359893
OG0005274,14.03475574,9.302638613,12.15801694,16.49782395
OG0005278,15.82811807,11.51274926,9.40856419,8.703503059
OG0005279,3.646778917,2.154934957,3.391706173,10.76085843
OG0005280,1.041955839,7.275534263,9.349574542,6.616079715
OG0005281,14.64537401,28.40795669,33.03254,31.97592014
OG0005282,9.875288938,8.703583876,8.200389787,11.71040109
OG0005283,14.53640863,13.92288289,14.64857395,16.28732149
OG0005284,0.104736623,0.223594267,1.988986253,1.658231094
OG0005285,9.705717107,19.10604808,29.98311749,10.94423287
OG0005286,203.605661,404.4316489,1098.305314,1103.730389
OG0005287,6.403477693,7.540903852,6.632256069,9.922739365
OG0005289,7.373381418,14.9337136,15.61090901,13.80936765
OG0005290,19.25742478,21.12523985,23.86667698,26.58965021
OG0005291,19.23290148,22.53701968,22.90977678,17.72741494
OG0005292,10.25886264,11.08432792,9.795684365,7.894284764
OG0005293,8.894417457,4.289502202,5.369193392,6.475142338
OG0005295,1093.910397,6033.087647,9144.678373,5493.592794
OG0005297,19.05906351,7.845247205,6.888928253,5.633586901
OG0005299,43.35375962,29.03525781,8.723420365,1.009128059
OG0005300,21.25901447,6.720656787,4.081909506,8.698490221
OG0005301,24.45444193,20.23864584,19.76254297,22.65844798
OG0005302,28.20857445,19.26132234,15.26407542,17.54464956
OG0005303,3.668979301,3.721225534,6.151500127,11.84297437
OG0005304,7.617314687,18.08325479,7.907590513,5.673749849
OG0005305,10.66506539,39.76496724,72.56619777,93.27562879
OG0005307,26.40747022,44.03473775,65.2365573,88.45590046
OG0005309,38.75044698,30.24326276,33.6882452,38.77891706
OG0005312,14.21184476,14.78795109,17.87716782,17.09477728
OG0005317,19.4086023,21.40892393,24.09571121,24.91897534
OG0005318,12.13594683,16.25794066,10.52997094,6.208009298
OG0005319,29.30527759,17.40383474,17.1931508,16.8509812
OG0005320,2.406818676,3.025842194,5.282460997,10.85661218
OG0005322,11.95894903,13.64213252,15.69983152,12.13779252
OG0005323,31.5381167,19.00978655,39.50753841,106.4290691
OG0005324,52.98246773,44.14529105,35.19230099,28.26203722
OG0005325,25.07991604,4.235836042,2.595853781,5.926241632
OG0005326,27.13174471,24.3923843,32.73259068,33.89993451
OG0005327,0.234071429,0.071190853,0,0
OG0005332,16.69342278,6.41758822,4.048350781,4.502160721
OG0005333,39.59613936,35.41994507,12.73044616,1.001361749
OG0005334,8.724063903,6.134034979,7.966498542,7.534254758
OG0005335,1554.386579,7157.332637,10239.12431,6591.468518
OG0005336,5.056700322,6.699161527,9.680327957,12.10570506
OG0005337,18.08770797,10.45399956,8.854932892,8.40113733
OG0005339,46.25396226,35.70548949,34.09090793,32.16717996
OG0005340,16.26902636,47.08552997,32.46658464,15.50865131
OG0005341,6.641521209,4.841320647,3.774901497,4.042716834
OG0005342,16.37029123,12.27270102,12.46512694,19.54331455
OG0005343,1.992414349,5.810326909,44.51691904,71.6510258
OG0005344,5.37198511,1.187288257,0.220877554,0.047099807
OG0005345,6.280813645,6.558408249,7.704155855,8.649186336
OG0005346,57.25074626,119.3507974,196.3212827,373.7863669
OG0005347,9.66075176,6.828588305,10.19142825,19.44092401
OG0005348,5.771856346,7.890527434,6.12611784,7.509574543
OG0005349,71.71051483,53.23028849,31.51989093,26.66675597
OG0005350,30.91276578,23.11421583,24.16120531,24.39729643
OG0005351,4.345417508,5.00814976,4.657975631,6.772169695
OG0005353,58.41973335,2.019719391,0.399607089,0.042732457
OG0005354,7.665545958,2.912178333,1.811570817,1.903463536
OG0005355,8.005767036,8.710631773,6.604962016,5.218524843
OG0005359,7.440918955,15.76969618,29.18339636,20.53484345
OG0005360,91.74253567,67.00790583,28.29522144,13.72090273
OG0005361,37.15595225,34.99880972,41.32450786,49.82901332
OG0005362,1.130913229,0.888797782,0.772225539,1.870715768
OG0005363,7.981558215,7.199214625,7.430141735,8.678723384
OG0005365,5.617785169,5.212744666,5.677777863,11.29501707
OG0005366,18.54782728,19.84952902,16.85561228,19.66446565
OG0005367,7.741190332,8.21297399,12.60490242,13.36518191
OG0005369,9.565750718,17.62959841,15.59016362,13.77756721
OG0005372,40.50887411,17.26738725,11.83653953,9.528780733
OG0005373,13.96839544,8.888172087,8.990794187,12.61198958
OG0005375,17.92442568,10.49364221,8.921105834,10.45315113
OG0005376,48.69442927,99.77900117,52.26190685,47.82666521
OG0005378,33.32051214,18.01585266,27.59293735,34.92940392
OG0005380,1.436273127,2.437917131,6.328283653,7.858762952
OG0005381,22.16120395,8.23950088,2.731871673,1.935104853
OG0005383,13.51611639,11.2683554,7.253692895,2.181305585
OG0005384,108.6950775,83.10962607,91.12844076,91.47975672
OG0005385,128.6273018,425.3230466,1142.477239,1370.333843
OG0005388,13.7236728,13.80994234,13.44145344,17.68078422
OG0005389,27.68321143,16.75411406,12.41564303,13.01393779
OG0005390,16.81717275,18.84226314,7.68712183,6.551081557
OG0005391,13.01522143,10.43558353,11.22038902,15.3623679
OG0005394,4.531874726,5.353589267,7.06373726,15.64743457
OG0005395,68.67076848,44.63716416,49.98533715,50.05020946
OG0005397,7.524086861,25.17645385,148.3158711,148.2600733
OG0005399,70.78846183,269.3819578,359.023148,213.9556293
OG0005400,0,0.123720441,0,0.189049711
OG0005401,27.75509398,23.69262083,27.65676906,20.67188835
OG0005402,6.450425538,8.746327036,16.262779,24.99883749
OG0005403,29.26419157,18.78282351,11.79200387,8.383901464
OG0005404,9.252880941,15.30286482,14.74785749,11.4427755
OG0005406,4.474984823,2.332575889,5.43289985,15.73806814
OG0005408,6.779886964,3.35353084,3.65052691,4.065020756
OG0005409,0.061853029,0,0.108550969,0
OG0005410,0.267915404,1.392560569,4.417322398,7.404489946
OG0005411,0.0869339,0.136025245,0.018059363,0.952342375
OG0005412,0.018901507,0.273915179,0.098678276,1.580110527
OG0005413,22.92574336,22.87070915,27.54745084,40.91597918
OG0005414,11.7128502,9.312828297,8.143340701,10.76784489
OG0005417,4.051063248,2.58534654,1.71912181,0.582845446
OG0005418,7.235876037,4.061719071,9.756679348,6.782002696
OG0005419,13.7661948,9.240863413,10.59605497,16.64311104
OG0005421,34.08766815,21.63719636,15.10318917,16.00366189
OG0005422,34.57813065,29.12156516,22.76396958,24.21008507
OG0005423,36.15170448,39.37640052,39.27159329,38.58690312
OG0005424,27.97617317,19.49638509,21.71077641,23.06401679
