,PK_S1,PK_S3,PK_S5,PK_S7
OG0000295,65.26925589,572.3234584,2175.658801,3348.944246
OG0000296,35.93712505,70.94160556,1.621583939,0.211961838
OG0000297,37.05529864,40.48948649,52.32742325,48.94551302
OG0000301,72.71357387,180.5967852,152.4541741,117.1419542
OG0000302,0.07088542,0.651027888,0.305199405,0.202282706
OG0000303,81.99848555,166.2996688,143.7401298,176.2681909
OG0000305,1.407912726,36.05331296,78.75331251,86.6753047
OG0000306,0.350781273,37.51822177,55.78161058,78.57645043
OG0000307,40.49870003,13.52682293,6.252715837,3.503250618
OG0000309,31.03120034,25.5061925,30.43227451,36.63242812
OG0000310,0.775278648,36.93450052,637.2175628,944.0683837
OG0000315,2950.65727,1675.748305,2219.27551,1593.063447
OG0000317,60.0737464,576.0960007,252.3748278,157.1345263
OG0000318,58.38207975,113.3894088,111.6771738,52.32950627
OG0000319,9.98178053,17.5401204,14.09383528,14.41160598
OG0000321,20.51248868,15.2958045,27.77040371,36.09959814
OG0000322,4.343863814,84.10942738,34.17324823,204.575718
OG0000323,1616.376498,896.0176455,1132.460158,1262.015271
OG0000325,3101.833171,277.9108741,465.3766244,593.4022777
OG0000326,1811.56131,1735.886579,1202.542396,733.0165159
OG0000332,2.863346221,1.956731312,1.230751069,0.587706955
OG0000334,12.59937239,11.44094545,12.93620472,17.53109367
OG0000335,170.7888265,144.2774109,97.83328488,77.99682165
OG0000336,13.32255659,19.74578041,10.04842047,3.650925347
OG0000337,0.997255699,56.6733714,389.7831587,441.7260985
OG0000338,344.6853553,252.7546637,183.1618856,176.4786787
OG0000339,42.60725793,31.40433623,97.27299648,238.3746943
OG0000340,0.315450936,1.649813251,3.810577154,14.78403782
OG0000342,373.6297464,242.7204456,241.0816316,282.8102479
OG0000343,11.3725637,17.52794484,17.78070031,22.91908774
OG0000345,20.31219663,12.65220397,11.36947048,12.21749618
OG0000346,1.268055343,4.56664284,6.273047681,4.929382169
OG0000348,15.34550582,49.85707384,56.18138475,34.50454677
OG0000349,10.97074121,9.002814516,10.57453741,12.76010346
OG0000352,0.132359,10.34443942,33.08160698,72.83774511
OG0000353,19.09758294,21.8349498,14.89999763,19.04003182
OG0000355,79.17513142,243.4734038,193.5252914,114.252918
OG0000356,5.779336325,2.471392466,1.431229966,0.945437288
OG0000358,4.068872913,25.96777825,34.35090819,26.06252212
OG0000359,0.009565791,0.048417898,0.185429327,0.169639819
OG0000360,140.3696988,134.8019571,136.8515512,129.9708686
OG0000362,0.140364896,3.723857076,1.93822554,0.826834655
OG0000367,3.35972311,15.83592378,17.91111773,15.02270966
OG0000370,42.76176369,26.36147459,17.28128298,22.15713797
OG0000371,38.43806464,237.2523157,69.86092015,96.96496945
OG0000372,15.74110508,9.381564377,2.723231827,1.09732303
OG0000373,1.023984399,11.29571683,5.46343681,2.236023598
OG0000374,2.511062725,23.72404863,40.9868841,119.3320844
OG0000375,2.140279696,17.73076063,77.09168744,273.9571748
OG0000377,1.550119937,19.03083356,14.58557202,25.82382918
OG0000378,233.550411,1781.476408,5791.223228,5777.456278
OG0000379,58.77467196,74.64905787,123.5505669,117.7181754
OG0000380,2.350805739,40.58479451,23.3348539,63.26499067
OG0000381,32.43666095,100.8761507,137.4191984,122.0135456
OG0000382,0.067526058,10.92519435,27.80721217,2.418696305
OG0000383,20.31421157,15.00963521,11.23144196,11.12566911
OG0000384,4.09999098,8.179617747,15.34043575,35.16102721
OG0000385,4.235422206,56.9147936,89.74173128,45.85525517
OG0000386,0.338409263,3.18081512,7.919410121,24.74365766
OG0000389,0.117911914,2.811105479,67.81202411,147.0199116
OG0000391,10.11815165,68.79685655,130.2388038,96.52750485
OG0000393,6.674590427,30.29865357,1.662896121,0.433671513
OG0000394,11.81436925,12.14441433,11.23086979,15.51332572
OG0000395,9.726651996,13.43685487,11.80496098,16.32781713
OG0000396,404.0995393,249.6917627,347.0219101,77.61293016
OG0000397,0.39507508,1.072353551,2.913223199,8.932772099
OG0000398,24.13152717,51.27310869,32.76138758,21.18296287
OG0000399,43.33490748,13.60132549,4.042427481,3.871287196
OG0000400,11.41370477,7.285205003,6.393365991,4.256874948
OG0000401,283.2518809,453.0732947,305.9993534,185.1808514
OG0000402,0.298444806,2.974687045,6.129517145,5.836706351
OG0000403,0.571998864,0.048295356,0,0.055562227
OG0000404,36.61705662,27.58301612,17.08264922,45.2862034
OG0000405,1.157365761,11.62446507,17.702673,25.90039764
OG0000406,0.664368313,0.964362081,0.885836876,1.771878346
OG0000407,32.39914412,137.5421514,125.7979975,52.79979596
OG0000408,16.3188943,24.01034168,32.9860668,19.08522743
OG0000409,37.44967507,95.39490601,115.1366925,28.35175771
OG0000416,0.067730249,6.237088304,18.93250304,11.91263266
OG0000417,1.60830586,13.08090563,29.63958128,41.70873049
OG0000418,2.384962299,4.771708324,5.783523973,9.704085646
OG0000419,33.06941141,34.08782164,31.91986005,31.9151668
OG0000420,19.58452389,70.22583383,99.28035359,38.7999202
OG0000422,0.189921175,0.439410557,1.574017653,1.461370283
OG0000429,2365.765626,1077.463,821.3372164,477.6663469
OG0000430,5.164108408,8.558303821,3.585220087,5.402667105
OG0000431,13.3839168,42.8668383,38.73366835,82.8118586
OG0000432,1257.836129,237.4000235,286.7227521,313.9017911
OG0000433,43.73776323,146.8228877,186.5173186,97.5169404
OG0000436,189.4573497,820.0864857,459.0040366,152.90761
OG0000437,105.2384732,70.32243508,59.51002288,52.2803732
OG0000438,1.460052236,58.87868745,19.79207671,9.424155939
OG0000439,1.481346515,19.80350803,12.24203712,18.22314805
OG0000440,2.146186179,21.69459323,14.45491314,19.0686845
OG0000441,0.446797281,7.25630219,47.31275814,45.06918796
OG0000442,9.484185761,15.33914318,51.92517572,57.67997624
OG0000443,15.55649399,46.63258515,98.99711353,98.29515091
OG0000444,510.423587,3970.824966,2889.131929,926.5435944
OG0000445,10.14793446,56.6239262,98.65097862,131.9415389
OG0000452,4.571797644,7.694263265,9.005441617,11.07931207
OG0000453,15.4881431,8.973071332,10.9625032,12.7378601
OG0000455,0.176103527,0.237291997,0.148701603,0.223422031
OG0000458,7.036652335,5.160955081,4.662909368,4.474170373
OG0000459,0.051591124,0.402559699,1.052227454,0.538993133
OG0000460,17.86960285,19.58119101,12.56781759,12.06874596
OG0000461,0.036960694,3.633453429,7.432916505,3.268394194
OG0000462,3.564507049,3.746490929,4.162227441,2.391865146
OG0000467,4.934507757,53.28002042,65.78500755,38.5841487
OG0000468,61.80910902,139.8789054,524.2729992,428.1811702
OG0000469,1365.235419,787.7828962,806.0157752,454.6191049
OG0000471,3.362666778,15.02390464,37.25337337,50.4336083
OG0000472,85.71060036,117.6261149,83.71261614,68.30334152
OG0000473,0,1.522759873,5.645627156,5.053814801
OG0000474,0.419271584,9.182830146,18.26319969,4.09660076
OG0000475,29.94289982,80.44770859,105.3126411,73.65945594
OG0000476,9.080338182,8.91895479,10.81034152,8.927399021
OG0000480,0.199617407,0.842963312,0.31904121,0.460525715
OG0000481,10.66801512,6.192459592,6.712832865,7.883696045
OG0000482,4.12803271,2.072121338,8.63015289,26.56031353
OG0000483,19.78656991,20.29682927,7.114956742,5.425117309
OG0000484,1874.747541,1597.126653,1826.319376,1622.421871
OG0000486,8.965610557,3.816223014,4.608357748,4.089559818
OG0000487,102.691089,60.68197294,58.94300116,81.99942608
OG0000488,30.56089066,21.57342436,20.97433817,9.034208409
OG0000489,23.61357716,11.33152608,11.05870543,14.21959791
